id,isb_number,song_title,song_code,album,year,lyricist,composer,singer,musicians,picturized_on,category,transcribed_by,created_at,lyrics_text,film_imdb_id,film_wikidata_id,lyricist_imdb_ids,composer_imdb_ids,singer_imdb_ids,picturized_on_imdb_ids
55,3199,shamaa pe aake o paravaane,,Meenar,1954,Rajinder Krishan,C Ramchandra,"Asha, chorus",,"Bharat Bhushan, Beena Roy",,,2024-12-06T23:25:26.470358+00:00,"%

aa: shamaa pe aake o paravaane
    jal
ko: jal
aa: jal
ko: jal jal jal jal
aa: pyaar ke raste ha.Nsate ha.Nsate
    chal
ko: chal
aa: chal
ko: chal chal chal chal
 
aa: pa.nkh jale.nge Kaak banegii
    jalake muhabbat paak banegii
    soch na muurakh biit rahaa hai
    pal
ko: pal
aa: pal
ko: pal pal pal pal
 
aa: mahafil kaa yuu.N ra.ng jamaa de
    tan ko apane aag lagaa de
    terii raaK se shammaa banegii
    kal
ko: kal
aa: kal
ko: kal kal kal kal
 
aa: tho.Dii sii ab raat hai baakii
    shiishe.n khaalii so gayaa saakii
    pyaar kii Gaafil apanii a.Nkhiyaa.N
    mal
ko: mal
aa: mal
ko: mal mal mal mal

%",,,,,,
56,2493,ye la.Dakii zaraa sii diivaanii lagatii hai,,Love Story,1981,,R D Burman,"Lata, Amit Kumar",,"Kumar Gaurav, Vijeta Pandit",,K Vijay Kumar,2024-12-06T23:25:26.470358+00:00,"%
mai.n akelaa raat kaa melaa, tuu kahaa.N se aa_ii
aise me.n tuu bhhul ke rastaa mujh se aa Takaraa_ii

ye la.Dakii zaraa sii diivaanii lagatii hai
mujhe to ye gu.Diyaa japaanii lagatii hai

chaabhii se ye chale, chaabhii se ye ruke
chaabhii se ye ha.Nse ruuTh jaaye
aisii naazuk hai ye, galatii se ise
koii chhule to ye TuuT jaaye
kaa.Nch kii hai gu.Diyaa
aafat kii hai pu.Diyaa
kisii shaitaan kii naanii lagatii hai
ye la.Dakii zaraa sii   \threedots

ham akelaa raat kaa melaa, tuu kahaa.N se aayaa
aise me.n tuu bhuul ke rastaa, ham se aa Takaraayaa

aate jaate hue raste pe kha.De
ba.De dekhe aise diivaane
    - aisaa kyaa!
jahaa.N pe bhii koii achchhii suurat akhii
vahii.n ruke kisii bahaane
aise hiiro ban ke gaa rahaa hai koii
kisii naye film kaa gaanaa lagataa hai
ye la.Dakaa zaraa saa diivaanaa lagataa hai
gaa.Dii kaa koii m.cDal puraanaa lagataa hai
ye la.Dakaa zaraa saa   \threedots
              
%",,,,,,
57,13841,pahalii pahalii baar mile hai.n ... achchhaa jii,,Road No. 303,1960,Naqsh Lyallpuri,C Arjun,"Rafi, Asha",,"Mehmood, Shobha Khote, Bhagwan, K N Singh, Tiwari, Sheelu, Helen",,BOL ANAMOL #10086 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
ra \:	pahalii pahalii baar mile hai.n do diivaane
aa \:	achchhaa jii
ra \:	ho jaa_egaa pyaar kisii naa kisii bahaane
aa \:	achchhaa jii
ra \:	pahalii pahalii baar mile \threedots

aa \:	aa.Nkho.n ne aa.Nkho.n se milakar khole dil ke raaz
ra \:	mere dil ne tere dil kii samajhii hai aavaaz
aa \:	tumhii.n socho tumhii.n samajho aage kyaa hogaa
ra \:	pahalii pahalii baar mile \threedots

ra \:	baato.n hii baato.n me.n tuune chhe.De dil ke taar
aa \:	ha.Nsate ha.Nsate ham ye kaisaa kar baiThe ikaraar
ra \:	chho.Do jii pachhataanaa kaisaa hu_aa jo honaa thaa
aa \:	pahalii pahalii baar mile \threedots

aa \:	hamane tumase tumane hamase kah dii dil kii baat
ra \:	haath ba.Dhaakar haath milaa lo rahe.nge dono.n saath
aa \:	kyaa kar legii duniyaa dekhaa jaa_egaa
do \:	pahalii pahalii baar mile \threedots
%",,,,,,
58,15494,pariishaa.N ho ke merii Kaak aaKir dil na ban jaa_e,,? (Non-Film),,,,Mehdi Hasan,,,,"[BOL ANAMOL], V S Rawat, Nov 03, 2004",2024-12-06T23:25:26.470358+00:00,"pariishaa.N ho ke merii Kaak aaKir dil na ban jaa_e
jo mushkil ab hai yaarab phir wohii mushkil na ban jaa_e

kabhii chho.Dii hu_ii ma.nzil bhii yaad aatii hai raahii ko
khaTak sii hai jo siine me.n Gam\-e\-ma.nzil na ban jaa_e

banaayaa ishq ne dariyaa\-e\-naa\-paigaa\-garaa.N mujhako
ye merii Kud nigahadaarii meraa saahil na ban jaa_e

aruuz\-e\-aadam\-e\-Kaakii se a.njum sahame jaate hai.n
ke ye TuuTaa hu_aa taaraa mah\-e\-kaamil na ban jaa_e",,,,,,
59,229,ba.De armaano.n se rakhaa hai balam terii kasam,,Malhaar,1951,Indeevar,Roshan,"Mukesh, Lata",,"Shammi, Arjun, Moti Sagar",,Preeti Ranjan Panda,2024-12-06T23:25:26.470358+00:00,"%
ba.De armaano.n se rakhaa hai balam terii kasam
o balam terii kasam
pyaar kii duniyaa me.n ye pahalaa kadam
ho, pahalaa kadam
judaa na kar sake.nge hamako zamaane ke sitam
ho, zamaane ke sitam
pyaar kii duniyaa me.n ye pahalaa kadam
ho, pahalaa kadam

le uThaa pyaar bhii a.nga.Daaii hai, dil bhii jahaa.N
ajii, aise me.n li_e jaate ho tum bolo kahaa.N
duur duniyaa kii nigaaho.n se kahii.n jaae.nge ham
pyaar kii duniyaa me.n ye pahalaa kadam
ho, pahalaa kadam \threedots

terii do aa.Nkho.n me.n dikahte hai.n mujhe dono.n jahaa.N
inhii me.n kho gayaa dil meraa kaho Dhuu.NDhuu.N kahaa.N
chaa.Nd ghaTataa ho ghaTe apanii mohabbat na ho kam
pyaar kii duniyaa me.n ye pahalaa kadam
ho, pahalaa kadam \threedots

merii naiyaa ko kinaare kaa i.ntazaar nahii.n
teraa aa.Nchal ho to patavaar bhii darakaar nahii.n
tere hote hue kyo.n ho mujhe tuufaan kaa Gam
pyaar kii duniyaa me.n ye pahalaa kadam
ho, pahalaa kadam \threedots
%",,,,,,
60,13939,dil kahataa hai jo chaahe.n ham vo kare.n,,Shararat,2001,Sameer,Sajid Wajid,"Sonu Nigam, Chorus",,"Abhishek Bachchan, Hrishita Bhatt, Amrish Puri, Om Puri",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
dil kahataa hai jo chaahe.n ham vo kare.n
dil kahataa hai kahataa hai jo chaahe.n ham vo kare.n
ham naa ko_ii baat sune.n
jo chaahe.n raah chune.n
duniyaa se ham kyuu.N Dare.n
dil he kahataa hai kahataa hai \threedots

khushiyaa.N hamaare li_e hamako nahii.n ko_ii Gam
ma.nzil jahaa.N har gha.Dii chuume hamaare kadam
ra.ng jamaa_e.n ham jahaa.N jaa_e.n
mastii luTaa_e.n mauj manaa_e.n
aavaaragii kii kasam
saaraa jahaa.n ruk jaa_e ambar bhii jhuk jaa_e
jhuum ke ham jab bhii chaahe.n
he he dil kahataa hai jo \threedots

paaba.nd rahanaa yahaa.n ma.njuur hamako nahii.n
aazaad rakhanaa hame.n kahatii hai ye sarazamii.n
ham to likhe.nge aisii kahaanii
hamase misaale.n degii javaanii
hamase hai kal aaj kal
saazo.n kii galiyo.n me.n ghuT ghuT ke yaar mere
jiite jii ham kyuu.n mare.n
dil kahataa hai kahataa hai \threedots
%",,,,,,
61,rmim0646,haay cha.ndaa ga_e parades,,Chakori,1949,M R Bhakri,Hansraj Behl,Lata,,"Nalini Jaywant, Manorama, Bharat Bhushan",,Arunabha S Roy,2024-12-06T23:25:26.470358+00:00,"haay cha.ndaa ga_e parades
chakorii yahaa.N ro ro mare, ro ro mare
haay cha.ndaa ga_e parades

diipo.n se jal\-jal mare pata.ngaa \-2
aur ghuu.NghaT me.n gorii jale
chakorii yahaa.N ro ro mare, ro ro mare
haay cha.ndaa ga_e parades

(naino.n se niir bahe mu.Nh se vo kuchh naa kahe
chupake chupake gorii birahaa kii pii.D sahe ) \-2
suuj ga_e hai.n ro ro ke saajan
haay nainaa jo tum se la.De
chakorii yahaa.N ro ro mare, ro ro mare
haay cha.ndaa ga_e parades",,,,,,
62,351,chaah bar_baad karegii hame.n,,Shahjehan,1946,Majrooh,Naushad,Saigal,,Saigal,,K Vijay Kumar,2024-12-06T23:25:26.470358+00:00,"%
chaah bar_baad karegii hame.n maaluum na thaa (2)
rote rote hii kaTegii hame.n maaluum na thaa (2)

maut bhii ham pe ha.Nsegii hame.n maaluum na thaa
zindagii rog banegii hame.n maaluum na thaa (2)
chaah barbaad karegii hame.n maaluum na thaa

chhaayii ghanaghor ghaTaa chaa.Nd sitaare na rahe
vah ummiide.n na rahii.n ab vah sahaare na rahe
Gair to Gair hii the vah bhii hamaare na rahe
hamape aisii bhii pa.Degii hame.n maaluum na thaa (2)
chaah barbaad karegii hame.n maaluum na thaa
%",,,,,,
63,1681,"tere binaa zi.ndagii se koii, shikavaa, to nahii.n, shikavaa nahii.n",,Aandhi,,Gulzar,R D Burman,"Lata, Kishore",,"Sanjeev Kumar, Suchitra Sen",,,2024-12-06T23:25:26.470358+00:00,"%
lataa: tere binaa zi.ndagii se koI, shikavaa, to nahii.n,
shikavaa nahii.n
shikavaa nahii.n, shikavaa nahii.n
tere binaa zi.ndagii bhii lekin,  zi.ndagii, to nahii.n,
zi.ndagii nahii.n
zi.ndagii nahii.n, zi.ndagii nahii.n

(kaash aisaa ho tere kadamo.n se,  chun ke ma.nzil chale 
aur kahii.n duur kahii.n  ) \- 2
tum gar saath ho,  ma.nzilo.n kii kamii to nahii.n
tere binaa zi.ndagii se koI, shikavaa, to nahii.n, shikavaa nahii.n

%Sanjiiv Kumaar: Suno Arti, ye jo phulon ki belen nazar aati hain na ye darasal
%  arabi main aayaten likhii huyi hain. Inhe din ke vaqt dekhna
%  bilkul saaf nazar aati hain. Din ke vaqt ye paani se bharaa
%  rahataa hai. Din ke vaqt.. ye jo phuvvaare hain.....
%Suchitra Sen: Kyon din ki baaten kar rahe ho.  kahaan aa paauungi main din ke
%  vaqt
%SK:  Ye jo chaand hai na ise raat main dekhnaa... Ye raat main nikaltaa hai..
%SS: ye to roj nikaltaa hogaa
%SK: haan lekin kabhii kabhii amaavas aa jaati hai. Waise to amaavas 15 dinon
%  ke baad aati hai lekin is baar bahut lambi thhii
%SS: Nau baras lambi thhii naa..
%
%  Sitar takes over as another awkward silence builds up in moments....
%
(jii me.n aataa hai,  tere daaman me.n,  sar chhupaa ke ham 
rote rahe.n, rote rahe.n    ) \- 2
terii bhii aa.Nkho.n me.n,  aa.Nsuo.n kii namii to nahii.n
kishor: tere binaa zi.ndagii se koI, shikavaa, to nahii.n,
shikavaa nahii.n
tere binaa zi.ndagii bhii lekin,  zi.ndagii,  to nahii.n,
zi.ndagii nahii.n

tum jo kah do to aajakii raat, chaa.nd Duubegaa nahii.n,
raat ko rok lo
raat ki baat hai,  aur zi.ndagii baakii to nahii.n
tere binaa zi.ndagii se koI, shikavaa, to nahii.n, shikavaa nahii.n
tere binaa zi.ndagii bhii lekin,  zi.ndagii,  to nahii.n,
zi.ndagii nahii.n
%",,,,,,
64,rmim0448,khulii palak me.n jhuuthaa gussaa band palak me.n pyaar,,Professor,1962,Shailendra,Shankar-Jaikishan,Rafi,,"Shammi Kapoor, Kalpana, Lalita Pawar",,Surma Bhopali,2024-12-06T23:25:26.470358+00:00,"%
zaraa thaharo zaraa thaharo
sadaa mere dil kii zaraa sunatii jaa_o

khulii palak me.n jhuuthaa gussaa band palak me.n pyaar
jiinaa bhii mushkil haay maranaa bhii mushkil
aa.nkho.n me.n ikaraar kii jhalkii hotho.n par inkaar
jiinaa bhii mushkil haay maranaa bhii mushkil

jis din se dekhaa tumako tum lage mujhe apane se
aur aake rahe aa.nkho.n me.n haay
aur aake rahe aa.nkho.n me.n ik manachaahe sapane se
samajh naa aaye kyaa jiitaa mai.n aur gayaa kyaa haar
jiinaa bhii mushkil haay maranaa bhii mushkil
\threedots

tum pyaar chhupaake haare mai.n pyaar jataake haaraa
ab to saarii duniyaa pe haay
ab to saarii duniyaa pe zaahir hai haal hamaaraa
pahu.nch ke is manzil pe lautanaa ab to hai dushwaar
jiinaa bhii mushkil haay maranaa bhii mushkil
\threedots

ise merii baat na samajho kyaa banataa hai baat banaa ke
kuchh kahanaa thaa mere dil kaa haay
kuchh kahanaa thaa mere dil kaa jaataa huu.N vahii doharaa ke
na ho yaqii.n to pa.Dhakar dekho aa.Nkho.n me.n ik baar
jiinaa bhii mushkil haay maranaa bhii mushkil
\threedots
%",,,,,,
65,10925,ek Daal par totaa bole ek Daal par mainaa,,Chor Machaaye Shor,1974,Indrajeet Singh Tulsi,Ravindra Jain,"Rafi, Lata",,"Shashi Kapoor, Mumtaz",,BOL ANAMOL #10313 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
ra \:	( ek Daal par totaa bole ) \-2 ek Daal par mainaa
	duur\-duur baiThe hai.n lekin pyaar to phir bhii hai naa
	bolo hai naa hai naa hai naa

la \:	o o o o ek Daal par totaa bole ek Daal par mainaa
	mai.n tere naino.n kii ni.ndiyaa tuu mere dil kaa chainaa
	bolo hai naa hai naa hai naa
do \:	ek Daal par totaa bole

la \:	ye kyaa mujhako ho gayaa saajan kabhii ro_uu.N kabhii gaa_uu.N
	pe.D se lipatii bel jo dekhuu.N laaj se mar\-mar jaa_uu.N
ra \:	ye paagalapan kaisaa kab se ho gayaa aisaa
la \:	bin batalaa_e samajho saajan aaj nahii.n kuchh kahanaa
	bolo hai naa hai naa hai naa
do \:	ek Daal par totaa bole \threedots

ra \:	aa.Ndhii aa_e tuufaa.N aa_e yaa barase.n barasaate.n
	ik duuje ke ho jaa_e.n ham Katm na ho din\-raate.n
la \:	( Katm na ho din\-raate.n ) \-2 ( miiThii pyaar kii baate.n ) \-2
ra \:	ho.nTh agar Kaamosh rahe.n to bol uThe.nge nainaa
	bolo hai naa hai naa hai naa
do \:	ek Daal par totaa bole \threedots

la \:	janam\-janam kii pyaas re saajan pal me.n bujhegii kaise
	jiivan bhar ye sa.ng na chhuuTe a.ng lagaa lo aise
ra \:	aa mil jaa_e.N aise saagar nadiyaa jaise
do \:	siikh liyaa hai pyaar me.n hamane miTakar zindaa rahanaa
	bolo hai naa hai naa hai naa
	ek Daal par totaa bole \threedots
%",,,,,,
66,3397,laa de mohe baalamaa aasamaanii chuu.Diyaa.N,,Rail Kaa Dibbaa,1953,Shakeel,Ghulam Mohammed,"Shamshad, Rafi",,"Madhubala, Shammi Kapoor, Sajjan, Om Prakash, Cukoo, Jayant",,Surajit A. Bose,2024-12-06T23:25:26.470358+00:00,"%
laa de mohe baalamaa aasamaanii chuu.Diyaa.N,
jii aasamaanii chuu.Diyaa.N,  o .o .o
dil ko mere bhaaye.n naa ye puraanii chuu.Diyaa.N,
jii ye puraanii chuu.Diyaa.N, laa de mohe baalamaa \threedots

ajii bharake nazar dekh lo idhar chuu.Diyo.n kii tum karo na fikar
bhuul na jaanaa dil ko lekar ghaayal man hai, zaKmii jigar
jab se la.Dii tum se nazar ham hai.n udhar tum ho jidhar
aao jii kar le mil ke guzar duniyaa ko ho na magar
tere mere dil kii Kabar
tere liye laauu.Ngaa man lubhaanii chuu.Diyaa.N,
jii man lubhaanii chuu.Diyaa.N, laa de mohe baalamaa \threedots

bhole piyaa meraa jiyaa tum ne liyaa hai \-2
ajii tum ne hame.n, ham ne tumhe.n pyaar kiyaa hai \-2

tumhe.n chho.D ke balam jaaye.nge na ham khaaye hue hai.n pyaar kii qasam
roegaa na dil khaae.Nge na Gam, koii na hogaa dil pe sitam
tum hii piyaa, tum hii sanam, rakhanaa merii laaj sharam
tere hii dam se hai meraa dam laagii ho dekho na kam
saath milake chham\-chhamaa\-chham
de de mujhe pyaar kii tuu nishaanii chuu.Diyaa.N
jii tuu nishaanii chuu.Diyaa.N

laa de mohe baalamaa aasamaanii chuu.Diyaa.N, o .o .o
jii aasamaanii chuu.Diyaa.N
tere liye laauu.Ngaa man lubhaanii chuu.Diyaa.N,
jii man lubhaanii chuu.Diyaa.N
%",,,,,,
67,rmim0530,takliid\-e\-Mohammad bhuul naa jaa,,non-Film,,Faiyaz Hashmi,Neumann orchestra,"Talat, Husn Bano, Chorus",,,,", 11/26/3",2024-12-06T23:25:26.470358+00:00,"%
takliid\-e\-Mohammad bhuul naa jaa
tauhiid kaa Dankaa aaj bajaa

tuu muslim hai ye yaad rahe
aazaad huaa  aazaad  rahe
terii duniyaa aabaad rahe
duniyaa ik apanii naii banaa

nabiyo.n ne dii ye gawaahii hai
tuu raah\-e\-Kudaa kaa raahii hai
Ahmad kii Gulaamii shaahii hai
ye saabit kar de aaj  zaraa

islaam sukuu.N kaa hai saayaa
insaa.N ne yahaa.n sukh hai paayaa
Faiyaz ye dii.N jab se aayaa
muhtaaj\-o\-Ganii kaa farq miTaa
%",,,,,,
68,14390,##this is the story of eternal love##,,Taajmahal,2001,Rahul B Seth,Santosh Nair,Sunidhi Chauhan,,"Raghu Nair, Poornima",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
##this is the story of eternal love told by the heavens above##
##true love, those who believe in immortal love, is forever##
##angels always watch over them, people whose love is for real##
##love can't be fathomed down, it is deeper than any ocean##
##love's what makes a tear drop more precious than even a pearl##
##it's love when a smile is received like a thousand blessings from heaven##
##love can never be shackled by arms, no rules no reasons at all##
##love gives it always a smile whatever maybe the season##
##this is the story of internal love## \threedots

##senses go numb and there is pain in my heart##
##the light of your love is so set to depart##
##souls of true lovers never go apart, never apart, never apart##
%",,,,,,
69,rmim0458,"din taakaa taakaa din ... a aa i ii, a aa i ii, maasTarjii kii aa ga_ii chiTThii",,Kitaab,1977,Gulzar,R D Burman,"Shivangi Kolhapure, Padmini Kolhapure",,"Master Raju, Uttam Kumar, Vidya Sinha",,Surma Bhopali,2024-12-06T23:25:26.470358+00:00,"%
( din taakaa taakaa din ) 2

( a aa i ii, a aa i ii
maasTarjii kii aa ga_ii chiTThii
chiTThii me.n se nikalii billii
chiTThii me.n se nikalii billii ) 2

( billii khaay zardaa paan
kaalaa chashmaa piilii kaan ) 2

aahaa a aa i ii, a aa i ii
maasTarjii kii aa ga_ii chiTThii
chiTThii me.n se nikalii billii
chiTThii me.n se nikalii billii

( din taakaa taakaa din ) 2

( kaan me.n jhumkaa, naak me.n battii ) 2
haath me.n jaise agarbattii
(nahii.n magarbatti, agarbattii, magarbattii, agar agarbatti)
( agar ho battii kachhuaa chaap
aag pe baiThaa paanii taap ) 2
taap cha.Dhe to kambal taan
vii aa_ii pii, ( vii aa_ii pii ##underwear## baniyaan ) 2

( din taakaa taakaa din ) 2

( a aa i ii, a aa i ii
maasTarjii kii aa ga_ii chiTThii
chiTThii me.n se nikalaa machchhar
chiTThii me.n se nikalaa machchhar ) 2

( machchhar kii do lambii muu.Nchhe.n
muu.Nchh pe baa.ndhe do do patthar ) 2
patthar pe ek aam kaa jhaa.D
muu.Nchh pe lekar chalaa pahaa.D
pahaa.D pe baiThaa buu.Dhaa jogii
jogii kii ek jogan hogii
( gaTharii me.n laagaa chor
musaafir dekh chaa.Nd kii or )
pahaa.D pe baiThaa buu.Dhaa jogii
jogii kii ek jogan hogii
jogan kuuTe kachchaa dhaan
vii aa_ii pii, ( vii aa_ii pii ##underwear## baniyaan ) 2

( din taakaa taakaa din ) 2

( a aa i ii, a aa i ii
maasTarjii kii aa ga_ii chiTThii
chiTThii me.n se nikalaa chiitaa
chiTThii me.n se nikalaa chiitaa ) 2
tho.Daa kaalaa tho.Daa piilaa
chiitaa nikalaa hai sharmiilaa
tho.Daa\-tho.Daa kaalaa tho.Daa\-tho.Daa piilaa
chiitaa nikalaa hai sharmiilaa
( are waa waa chaal dekho )
ghu.nghaT Daal ke chalataa hai
maa.ng me.n si.nduur bharataa hai
maathe roz lagaaye bi.ndii
##english## bole matalab hi.ndii
( ##if## agar ##is## hai ##but## par ##what## matalab kyaa )
maathe roz lagaaye bi.ndii
##english## bole matalab hi.ndii
hi.ndii me.n ##algebra## chaan
( vii aa_ii pii ##underwear## baniyaan ) 2
saawadhaan !
%",,,,,,
70,14380,ko_ii ishq me.n paagal hotaa hai ... vo ishq kaa matalab samajhegaa,,Teraa Jaadu Chal Gayaa,2000,Sameer,Ismail Darbar,Shankar Mahadevan,,"Abhishek Bachchan, Kirti Reddy",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
ko_ii ishq me.n paagal hotaa hai
ko_ii ishq me.n banataa hai diivaanaa
ye ishq junuun hai chaahat hai
mushkil hai isako samajhaanaa
vo ishq kaa matalab samajhegaa
yahaa.n ishq jise ho jaa_egaa haay
mahasuus nahii.n hone degaa ho ho
mahasuus nahii.n hone degaa
dil chupake se kho jaa_egaa haay
vo ishq kaa matalab \threedots

huu.N ye ishq to aisaa jaaduu hai haay
jo kisii pe bhii chal jaataa hai
ko_ii ishq me.n suulii cha.Dhataa hai
ko_ii taajamahal banavaataa hai
ye ishq hai jho.nkaa khushbuu kaa ho ho
ye ishq hai jho.nkaa khushbuu kaa
sabakii saa.Nse.n mahakaa_egaa haay
vo ishq kaa matalab \threedots

naa ishq kii ko_ii bolii hai haay
naa ishq kii ko_ii bhaaShaa hai
naa pa.Dhaa kisii ne bhii isako haay
phir bhii ye sabako aataa hai
kaise karate hai.n ishq yahaa.n ho ho
kaise karate hai.n ishq yahaa.n
ye ishq ko ishq sikhaa_egaa haay
vo ishq kaa matalab \threedots
%",,,,,,
71,rmim0520,do zulmii nainaa.n maar gae,,Aai Bahar,1946,D N Madhok,Amarnath,S D Batish,,"Irshad, Asha Posley, Ajmal, Charlie",,", 7/12/3",2024-12-06T23:25:26.470358+00:00,"%
do zulmii nainaa.n maar gae
vo jiit gae ham haar gae
mai.n kaa karuu.n
kuchh vo Dare.n duniyaa se
kuchh mai.n Daruu.n

zaKamii dil le kar jaa_uu.n kahaa.n, koii bole
yaa hame.n banaa le apanaa yaa meraa ho le
jug jug vo jii_e.n jag me.n aur mai.n maruu.n
kuchh vo Dare.n duniyaa se
kuchh mai.n Daruu.n
do zulmii nainaa.n maar gae
vo jiit gae ham haar gae
mai.n kaa karuu.n

ik rog niraalaa ham ne paalaa,
kayaa karuu.n bataa de koii sunne waalaa
ro ro pukaare dil nai.no.n ne maaraa
sukh me.n kaTe.n din mere hai koii payaaraa
jug jug vo jii_e.n jag me.n aur mai.n maruu.n
kuchh vo Dare.n duniyaa se
kuchh mai.n Daruu.n
do zulmii nainaa.n maar gae
vo jiit gae ham haar gae
mai.n kaa karuu.n
%",,,,,,
72,3387,kisane ye kisane ye kisane chhe.De taar,,Hamari Beti,1950,Randhir,Snehal Bhatkar,"Geeta, Mukesh",,"Nutan, Shekhar, Baby Tanuja, Motilal, Shobhna Samarth",,Srinivas Ganti,2024-12-06T23:25:26.470358+00:00,"%
ge:kisane ye kisane ye kisane chhe.De taar mere dil kii sitaar kii
kisane chhe.De taar
mu:kisane ye kisane ye kisane chhe.De taar mere dil kii sitaar kii
kisane chhe.De taar
(chhupake chhupake aise achaanak)\-2
huii naii jhankaar, kisane chhe.De taar mere dil kii sitaar kii
kisane chhe.De taar

mu:(man Dolane lagaa, kuchh bolane lagaa)\-2
(jiivan kaa pa.nchhii pa.nkh kholane lagaa)\-2
u.Dane ko aise nagar, jis kii nahii.n dekhii Dagar
u.Dane ko aise nagar
u.Dane ko aise nagar,jis kii nahii.n dekhii Dagar
apanii taraf khai.nch rahaa kaun baar baar
kisane chhe.De taar mere dil kii sitaar kii
kisane chhe.De taar
ge:kisane ye kisane ye kisane chhe.De taar mere dil kii sitaar kii
kisane chhe.De taar

ge:(kisakaa dekh baa.Nkapan, nai.n aaj hai.n magan)\-2
(naach uThaa chham chhananan, channanan channanan, kis liye jiivan)\-2
kaunasaa ye giit hai, kaunasaa sa.ngiit hai
kis ke liye nas nas me.n jaag uThaa pyaar
kisane chhe.De taar mere dil kii sitaar kii
kisane chhe.De taar
both:kisane ye kisne ye kisane chhe.De taar mere dil kii sitaar kii
kisane chhe.De taar
%",,,,,,
73,10935,bedardii mere saiyaa.N shabanam hai.n kabhii shole,,Chaudhvin Kaa Chaand,1960,Shakeel,Ravi,Asha,,"Guru Dutt, Waheeda Rahman, Rahman, Johnny Walker",,BOL ANAMOL #11451 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
bedardii mere saiyaa.N shabanam hai.n kabhii shole
andar se ba.De zaalim baahar se ba.De bhole
bedardii mere saiyaa.N \threedots

matalab ke hai.n rasiyaa ko_ii inhe.n kyaa samajhe
ye Kud bhii nahii.n apane bas inako Kudaa samajhe
dam bhar me.n ye tolaa hai.n dam bhar me.n maashaa hai.n
banate hai.n tamaashaa_ii aur Kud hii tamaashaa hai.n
rah\-rah ke badalate hai.n din\-raat na_e chole
andar se ba.De zaalim \threedots

har ik adaa mere baalam kii niraalii hai
baate.n mohabbat kii magar pyaar se khaalii hai.n
aadat se hai.n ba.De cha.nchal suurat hai ba.Dii saadaa
aaj isako diyaa kal usase kiyaa vaadaa
harajaa_ii hai.n inase ko_ii kyaa bole
andar se ba.De zaalim \threedots
%",,,,,,
74,20973,"suunaa, suunaa man kaa aa.Ngan",,Parineeta,2005,Swanand Kirkire,Shantanu Moitra,"Sonu Nigam, Shreya Ghoshal",,"Saif Ali Khan, Vidya Balan",,Vidyaan,2024-12-06T23:25:26.470358+00:00,"%
sonU: suunaa \threedots suunaa man kaa aa.Ngan
Dhuu.N.Dhe paayal kii wo chhanachhan
suunii \threedots suunii man kii saragam
Dhuu.N.Dhe giit tere hamadam
man me.n shaam ho yaa saveraa
laagaa terii hii yaado.n kaa Deraa
tuune ba.ndhan kyo.n ye to.Daa
tuune kaahe ko mu.Nh mo.Daa
kaho naa \threedots kaho naa \threedots kaho naa \threedots
shreyA: phuul phuul bha.Nvaraa Dole man me.n guu.Nje terii yaad
baaG me.n papiihaa bole piihu piihu piyu kahaa.N

aa.a.a \threedots aa.a.a.a.a \threedots

sonU: kaise kaaTe.n suunii raate.n
kaho naa \threedots kaho naa
kaise bhuule.n biitii baate.n
kaho naa kaho naa
kaise thaame.n phir teraa daaman
kaise mahake man kaa ye aa.Ngan
kaise bhuule.n priit terii saajan
kaise baa.Ndhe.n TuuTaa ye ba.ndhan
man me.n shaam ho yaa saveraa
laagaa terii hii yaado.n kaa Deraa
tuune ba.ndhan kyuu.N ye to.Daa
tuune kaahe ko mu.Nh mo.Daa
kaho naa \threedots kaho naa \threedots kaho naa \threedots
shreyA: phuul phuul bha.Nvaraa Dole man me.n guu.Nje terii yaad
baaG me.n papiihaa bole piihu piihu piyu kahaa.N

sonU: phuul phuul bha.Nvaraa Dole man me.n guu.Nje terii yaad
baaG me.n papiihaa bole piihu piihu piyu kahaa.N

dono.n: phuul phuul bha.Nvaraa Dole man me.n guu.Nje terii yaad
baaG me.n papiihaa bole piihu piihu piyu kahaa.N
shreyA: kaho naa \threedots

hamma hamma \threedots aa.a.a\threedots aa.a.a \threedots
%",,,,,,
